service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20181209,20191214
000002,0,0,0,0,0,0,0,20181209,20191214
000003,0,0,0,0,0,0,0,20181209,20191214
000004,0,0,0,0,0,0,0,20181209,20191214
000005,0,0,0,0,0,0,0,20181209,20191214
000006,0,0,0,0,0,0,0,20181209,20191214
000007,0,0,0,0,0,0,0,20181209,20191214
000008,0,0,0,0,0,0,0,20181209,20191214
000009,0,0,0,0,0,0,0,20181209,20191214
000010,0,0,0,0,0,0,0,20181209,20191214
000011,0,0,0,0,0,0,0,20181209,20191214
000012,0,0,0,0,0,0,0,20181209,20191214
000013,0,0,0,0,0,0,0,20181209,20191214
000014,0,0,0,0,0,0,0,20181209,20191214
000015,0,0,0,0,0,0,0,20181209,20191214
000016,0,0,0,0,0,0,0,20181209,20191214
000017,0,0,0,0,0,0,0,20181209,20191214
000018,0,0,0,0,0,0,0,20181209,20191214
000019,0,0,0,0,0,0,0,20181209,20191214
000020,0,0,0,0,0,0,0,20181209,20191214
000021,0,0,0,0,0,0,0,20181209,20191214
000022,0,0,0,0,0,0,0,20181209,20191214
000023,0,0,0,0,0,0,0,20181209,20191214
000024,0,0,0,0,0,0,0,20181209,20191214
000025,0,0,0,0,0,0,0,20181209,20191214
000026,0,0,0,0,0,0,0,20181209,20191214
000027,0,0,0,0,0,0,0,20181209,20191214
000028,0,0,0,0,0,0,0,20181209,20191214
000029,0,0,0,0,0,0,0,20181209,20191214
000030,0,0,0,0,0,0,0,20181209,20191214
000031,0,0,0,0,0,0,0,20181209,20191214
000032,0,0,0,0,0,0,0,20181209,20191214
000033,0,0,0,0,0,0,0,20181209,20191214
000034,0,0,0,0,0,0,0,20181209,20191214
000035,0,0,0,0,0,0,0,20181209,20191214
000036,0,0,0,0,0,0,0,20181209,20191214
000037,0,0,0,0,0,0,0,20181209,20191214
000038,0,0,0,0,0,0,0,20181209,20191214
000039,0,0,0,0,0,0,0,20181209,20191214
000040,0,0,0,0,0,0,0,20181209,20191214
000041,0,0,0,0,0,0,0,20181209,20191214
000042,0,0,0,0,0,0,0,20181209,20191214
000043,0,0,0,0,0,0,0,20181209,20191214
000044,0,0,0,0,0,0,0,20181209,20191214
000045,0,0,0,0,0,0,0,20181209,20191214
000046,0,0,0,0,0,0,0,20181209,20191214
000047,0,0,0,0,0,0,0,20181209,20191214
000048,0,0,0,0,0,0,0,20181209,20191214
000049,0,0,0,0,0,0,0,20181209,20191214
000050,0,0,0,0,0,0,0,20181209,20191214
000051,0,0,0,0,0,0,0,20181209,20191214
000052,0,0,0,0,0,0,0,20181209,20191214
000053,0,0,0,0,0,0,0,20181209,20191214
000054,0,0,0,0,0,0,0,20181209,20191214
000055,0,0,0,0,0,0,0,20181209,20191214
000056,0,0,0,0,0,0,0,20181209,20191214
000057,0,0,0,0,0,0,0,20181209,20191214
000058,0,0,0,0,0,0,0,20181209,20191214
000059,0,0,0,0,0,0,0,20181209,20191214
000060,0,0,0,0,0,0,0,20181209,20191214
000061,0,0,0,0,0,0,0,20181209,20191214
000062,0,0,0,0,0,0,0,20181209,20191214
000063,0,0,0,0,0,0,0,20181209,20191214
000064,0,0,0,0,0,0,0,20181209,20191214
000065,0,0,0,0,0,0,0,20181209,20191214
000066,0,0,0,0,0,0,0,20181209,20191214
000067,0,0,0,0,0,0,0,20181209,20191214
000068,0,0,0,0,0,0,0,20181209,20191214
000069,0,0,0,0,0,0,0,20181209,20191214
000070,0,0,0,0,0,0,0,20181209,20191214
000071,0,0,0,0,0,0,0,20181209,20191214
000072,0,0,0,0,0,0,0,20181209,20191214
000073,0,0,0,0,0,0,0,20181209,20191214
000074,0,0,0,0,0,0,0,20181209,20191214
000075,0,0,0,0,0,0,0,20181209,20191214
000076,0,0,0,0,0,0,0,20181209,20191214
000077,0,0,0,0,0,0,0,20181209,20191214
000078,0,0,0,0,0,0,0,20181209,20191214
000079,0,0,0,0,0,0,0,20181209,20191214
000080,0,0,0,0,0,0,0,20181209,20191214
000081,0,0,0,0,0,0,0,20181209,20191214
000082,0,0,0,0,0,0,0,20181209,20191214
000083,0,0,0,0,0,0,0,20181209,20191214
000084,0,0,0,0,0,0,0,20181209,20191214
000085,0,0,0,0,0,0,0,20181209,20191214
000086,0,0,0,0,0,0,0,20181209,20191214
000087,0,0,0,0,0,0,0,20181209,20191214
000088,0,0,0,0,0,0,0,20181209,20191214
000089,0,0,0,0,0,0,0,20181209,20191214
000090,0,0,0,0,0,0,0,20181209,20191214
000091,0,0,0,0,0,0,0,20181209,20191214
000092,0,0,0,0,0,0,0,20181209,20191214
000093,0,0,0,0,0,0,0,20181209,20191214
000094,0,0,0,0,0,0,0,20181209,20191214
000095,0,0,0,0,0,0,0,20181209,20191214
000096,0,0,0,0,0,0,0,20181209,20191214
000097,0,0,0,0,0,0,0,20181209,20191214
000098,0,0,0,0,0,0,0,20181209,20191214
000099,0,0,0,0,0,0,0,20181209,20191214
000100,0,0,0,0,0,0,0,20181209,20191214
000101,0,0,0,0,0,0,0,20181209,20191214
000102,0,0,0,0,0,0,0,20181209,20191214
000103,0,0,0,0,0,0,0,20181209,20191214
000104,0,0,0,0,0,0,0,20181209,20191214
000105,0,0,0,0,0,0,0,20181209,20191214
000106,0,0,0,0,0,0,0,20181209,20191214
000107,0,0,0,0,0,0,0,20181209,20191214
000108,0,0,0,0,0,0,0,20181209,20191214
000109,0,0,0,0,0,0,0,20181209,20191214
000110,0,0,0,0,0,0,0,20181209,20191214
000111,0,0,0,0,0,0,0,20181209,20191214
000112,0,0,0,0,0,0,0,20181209,20191214
000113,0,0,0,0,0,0,0,20181209,20191214
000114,0,0,0,0,0,0,0,20181209,20191214
000115,0,0,0,0,0,0,0,20181209,20191214
000116,0,0,0,0,0,0,0,20181209,20191214
000118,0,0,0,0,0,0,0,20181209,20191214
000119,0,0,0,0,0,0,0,20181209,20191214
000120,0,0,0,0,0,0,0,20181209,20191214
000121,0,0,0,0,0,0,0,20181209,20191214
000122,0,0,0,0,0,0,0,20181209,20191214
000123,0,0,0,0,0,0,0,20181209,20191214
000124,0,0,0,0,0,0,0,20181209,20191214
000125,0,0,0,0,0,0,0,20181209,20191214
000126,0,0,0,0,0,0,0,20181209,20191214
000127,0,0,0,0,0,0,0,20181209,20191214
000128,0,0,0,0,0,0,0,20181209,20191214
000129,0,0,0,0,0,0,0,20181209,20191214
000130,0,0,0,0,0,0,0,20181209,20191214
000131,0,0,0,0,0,0,0,20181209,20191214
000132,0,0,0,0,0,0,0,20181209,20191214
000133,0,0,0,0,0,0,0,20181209,20191214
000134,0,0,0,0,0,0,0,20181209,20191214
000135,0,0,0,0,0,0,0,20181209,20191214
000136,0,0,0,0,0,0,0,20181209,20191214
000137,0,0,0,0,0,0,0,20181209,20191214
000138,0,0,0,0,0,0,0,20181209,20191214
000139,0,0,0,0,0,0,0,20181209,20191214
000140,0,0,0,0,0,0,0,20181209,20191214
000141,0,0,0,0,0,0,0,20181209,20191214
000142,0,0,0,0,0,0,0,20181209,20191214
000143,0,0,0,0,0,0,0,20181209,20191214
000145,0,0,0,0,0,0,0,20181209,20191214
000146,0,0,0,0,0,0,0,20181209,20191214
